mesh_index,h,enforcement,p,projector,exponent_label,exponent,quadrature_degree,c_stab,skipped_zero_bases
11,0.12856486930664504,strong,1.5,P_h_perp,2,2.0,6,0.7709916742065641,0
11,0.12856486930664504,strong,1.5,P_h_perp,p,1.5,6,0.982816665043202,0
11,0.12856486930664504,strong,1.5,P_h_perp,p_prime,3.0,6,0.7038222096833828,0
11,0.12856486930664504,strong,2.5,P_h,2,2.0,6,1.0000000000000004,0
11,0.12856486930664504,strong,2.5,P_h,p,2.5,6,1.0000000000000002,0
11,0.12856486930664504,strong,2.5,P_h,p_prime,1.6666666666666667,6,1.007069878761646,0
11,0.12856486930664504,strong,2.5,P_h_perp,2,2.0,6,0.7709916742065641,0
11,0.12856486930664504,strong,2.5,P_h_perp,p,2.5,6,0.7276249368284339,0
11,0.12856486930664504,strong,2.5,P_h_perp,p_prime,1.6666666666666667,6,0.8441326018357996,0
12,0.11785113019775798,multiplier,1.5,P_h,2,2.0,6,1.0000000000000002,0
12,0.11785113019775798,multiplier,1.5,P_h,p,1.5,6,1.136429562418241,0
12,0.11785113019775798,multiplier,1.5,P_h,p_prime,3.0,6,1.0000000000000004,0
12,0.11785113019775798,multiplier,1.5,P_h_perp,2,2.0,6,0.7611312110353435,0
12,0.11785113019775798,multiplier,1.5,P_h_perp,p,1.5,6,0.9842139544620093,0
12,0.11785113019775798,multiplier,1.5,P_h_perp,p_prime,3.0,6,0.7068283336579749,0
12,0.11785113019775798,multiplier,2.5,P_h,2,2.0,6,1.0000000000000002,0
12,0.11785113019775798,multiplier,2.5,P_h,p,2.5,6,1.0000000000000002,0
12,0.11785113019775798,multiplier,2.5,P_h,p_prime,1.6666666666666667,6,1.0078648918755122,0
12,0.11785113019775798,multiplier,2.5,P_h_perp,2,2.0,6,0.7611312110353435,0
12,0.11785113019775798,multiplier,2.5,P_h_perp,p,2.5,6,0.7279784742523852,0
12,0.11785113019775798,multiplier,2.5,P_h_perp,p_prime,1.6666666666666667,6,0.8447553898488298,0
12,0.11785113019775798,strong,1.5,P_h,2,2.0,6,1.0000000000000004,0
12,0.11785113019775798,strong,1.5,P_h,p,1.5,6,1.1364296150645206,0
12,0.11785113019775798,strong,1.5,P_h,p_prime,3.0,6,1.0000000000000004,0
12,0.11785113019775798,strong,1.5,P_h_perp,2,2.0,6,0.7709909632126819,0
12,0.11785113019775798,strong,1.5,P_h_perp,p,1.5,6,0.9842141642256483,0
12,0.11785113019775798,strong,1.5,P_h_perp,p_prime,3.0,6,0.7038215103804236,0
12,0.11785113019775798,strong,2.5,P_h,2,2.0,6,1.0000000000000004,0
12,0.11785113019775798,strong,2.5,P_h,p,2.5,6,1.0000000000000004,0
12,0.11785113019775798,strong,2.5,P_h,p_prime,1.6666666666666667,6,1.0078649036373404,0
12,0.11785113019775798,strong,2.5,P_h_perp,2,2.0,6,0.7709909632126819,0
12,0.11785113019775798,strong,2.5,P_h_perp,p,2.5,6,0.7276242776623918,0
12,0.11785113019775798,strong,2.5,P_h_perp,p_prime,1.6666666666666667,6,0.8441365954186801,0
13,0.10878565864408432,multiplier,1.5,P_h,2,2.0,6,1.0000000000000002,0
13,0.10878565864408432,multiplier,1.5,P_h,p,1.5,6,1.1389819871204516,0
13,0.10878565864408432,multiplier,1.5,P_h,p_prime,3.0,6,1.0000000000000004,0
13,0.10878565864408432,multiplier,1.5,P_h_perp,2,2.0,6,0.761872552602963,0
